year,artist,track,lyrics
1954,Rosemary Clooney,Hey There,Lately when I'm in my room all by myself In the solitary gloom I call to myself Hey there you with the stars in your eyes Love never made a fool of you You used to be too wise Hey there you on that high-flyin' cloud Though he won't throw a crumb to you You think some day he'll come to you. Better forget him Him with his nose in the air He has you dancin' on a string Break it and he won't care. Won't you take this advice I hand you like a mother Or are you not seein' things too clear Are you too much in love to hear Is it all goin' in one ear and out the other. Hey there you with the stars in your eyes (Are you talking to me) Love never made a fool of you (Not until now) You used to be too wise (Yes I was once) Will you take this advice I hand you like a mother Or am I not seein' things too clear Are you just too far gone to hear Is it all goin' in one ear and out the other. 
1955,Roger Williams,Autumn Leaves,The falling leaves drift by the window The autumn leaves of red and gold I see your lips the summer kisses The sunburned hand I used to hold Since you went away the days grow long And soon I'll hear old winter's song But I miss you most of all my darling When autumn leaves start to fall. I see your lips the summer kisses The sunburned hand I used to hold. Since you went away the days grow long And soon I'll hear old winter's song But I miss you most of all my darling When autumn leaves start to fall. 
1955,Bill Haley And His Comets,Rock Around The Clock,One two One two three o'clock four o'clock rock Five six seven o'clock eight o'clock rock Nine ten eleven o'clock twelve o'clock rock We're gonna rock around the clock tonight. Put your glad rags on and join me hon We'll have some fun when the clock strikes one We're gonna rock around the clock tonight We're gonna rock rock rock 'til broad daylight. We're gonna rock gonna rock around the clock tonight.. When the clock strikes two three and four If the band slows down we'll yell for more We're gonna rock around the clock tonight We're gonna rock rock rock 'til broad daylight. We're gonna rock gonna rock around the clock tonight.. When the chimes ring five six and seven We'll be right in seventh heaven. We're gonna rock around the clock tonight We're gonna rock rock rock 'til broad daylight. We're gonna rock gonna rock around the clock tonight. When it's eight nine ten eleven too I'll be goin' strong and so will you. We're gonna rock around the clock tonight We're gonna rock rock rock 'til broad daylight. We're gonna rock gonna rock around the clock tonight.. When the clock strikes twelve we'll cool off then Start a rockin' round the clock again. We're gonna rock around the clock tonight We're gonna rock rock rock 'til broad daylight. We're gonna rock gonna rock around the clock tonight. 
1955,Mitch Miller,The Yellow Rose Of Texas,There's a yellow rose in Texas that I am gonna see Nobody else could miss her not half as much as me She cried so when I left her it like to broke my heart And if I ever find her we never more will part She's the sweetest little rosebud that Texas ever knew Her eyes are bright as diamonds they sparkle like the dew You may talk about your Clementine and sing of Rosa Lee But the Yellow Rose of Texas is the only girl for me. [Instrumental Interlude]. Where the Rio Grande is flowin' and starry skies are bright She walks along the river in the quiets of her night I know that she remembers when we parted long ago I promised to return and not to leave her so. She's the sweetest little rosebud that Texas ever knew Her eyes are bright as diamonds they sparkle like the dew You may talk about your Clementine and sing of Rosa Lee But the Yellow Rose of Texas is the only girl for me. [Instrumental Interlude] Oh now I'm gonna find her for my heart is full of woe We'll do the things together we did so long ago We'll play the banjo gaily she'll love me like before And the Yellow Rose of Texas shall be mine forevermore. She's the sweetest little rosebud that Texas ever knew Her eyes are bright as diamonds they sparkle like the dew You may talk about your Clementine and sing of Rosa Lee But the Yellow Rose of Texas is the only girl for me. 
1956,Elvis Presley,Heartbreak Hotel,Well since my baby left me Well I found a new place to dwell Well it's down at the end of Lonely Street At Heartbreak Hotel Where I'll be--where I get so lonely baby Well I'm so lonely I get so lonely I could die Although it's always crowded You still can find some room For broken-hearted lovers To cry there in the gloom And be so--where they'll be so lonely baby Well they're so lonely They'll be so lonely they could die. Well the desk clerk's tears keep flowin' And the desk clerk's dressed in black Well they've been so long on Lonely Street Well they'll never they'll never get back And they'll be so--where they'll be so lonely baby Well they're so lonely They'll be so lonely they could die. Well now if your baby leaves you And you have a sad tale to tell Just take a walk down Lonely Street To Heartbreak Hotel And you will be you will be you will be lonely baby You'll be so lonely You'll be so lonely you could die Well though it's always crowded You still can find some room For broken-hearted lovers To cry there in the gloom And they'll be so--they'll be so lonely baby They'll be so lonely They'll be so lonely they could die. 
1956,Elvis Presley,Don't Be Cruel,You know I can be found sitting home all alone If you can't come around at least please telephone. Don't be cruel to a heart that's true. Baby if I made you mad for something I might have said Please let's forget the past the future looks bright ahead Don't be cruel to a heart that's true. I don't want no other love Baby it's just you I'm thinking of.. Don't stop thinking of me don't make me feel this way Come on over here and love me you know what I want you to say. Don't be cruel to a heart that's true. Why should we be apart? I really love you baby cross my heart.. Let's walk up to the preacher and let us say I do Then you'll know you'll have me and I'll know that I'll have you Don't be cruel to a heart that's true. I don't want no other love Baby it's just you I'm thinking of. Don't be cruel to a heart that's true. Don't be cruel to a heart that's true. I don't want no other love Baby it's just you I'm thinking of.
1956,Nelson Riddle,Lisbon Antigua,I gave my heart to you in old Lisbon that night Under the spell of your charms I felt your arms hold me so tight; `Twas heaven to find such bliss in each kiss; I lost my heart but I found one so true In old Lisbon with you.. It happened one night in Portugal Lisbon was gay in the moonlight The stars were shining above When I found you my love; What is this strangeness this splendor All this myst'ry that makes me surrender? . .... Lisboa antigua reposa llena de encanto y belleza que fuiste hermosa al sonreir y al vestir tan airosa! El velo de la nostalgia cubrirà tu rostro de linda princesa. No volveràs Lisboa antigua y senorial a ser morada feudal a tu esplendor real. Las fiestas y los lùcidos saraos y serenatas al amanecer ya nunca volveràn. 
1957,Elvis Presley,All Shook Up,A well'a bless my soul What'sa wrong with me? I'm itchin' like a man on a fuzzy tree My friends say I'm actin' wild as a bug I'm in love I'm all shook up Mm mm mm mm yay yay yay Well my hands are shaky and my knees are weak I can't seem to stand on my own two feet Who do you think of when you have such luck? I'm in love I'm all shook up Mm mm mm mm yay yay yay. Well please don't ask me what'sa on my mind I'm a little mixed up but I'm feelin' fine When I'm near that girl that I love best My heart beats so it scares me to death!. Well she touched my hand what a chill I got Her lips are like a volcano when it's hot I'm proud to say that she's my b___ercup I'm in love I'm all shook up Mm mm mm mm yay yay yay My tongue gets tied when I try to speak My insides shake like a leaf on a tree There's only one cure for this body of mine That's to have that girl that I love so fine!. She touched my hand what a chill I got Her lips are like a volcano that's hot I'm proud to say that she's my b___ercup I'm in love I'm all shook up Mm mm mm mm yay yay yay Mm mm mm mm yay yay I'm all shook up. 
1957,Pat Boone,Love Letters In The Sand,On a day like today We pass the time away Writing love letters in the sand How you laughed when I cried Each time I saw the tide Take our love letters from the sand. You made a vow that you would ever be true But somehow that vow meant nothing to you. Now my broken heart aches With every wave that breaks Over love letters in the sand. [Whistlin']. Now my broken heart aches With every wave that breaks Over love letters in the sand. 
1957,Diamonds,Little Darlin',Yaaaaaaaaaaaaaaaaaaaa Ya-ya-ya yaaaaaaaaaaa Ya-ya-ya yaaaaaaaaaaa Ya-ya-yaaaaaaaaaaa-aaaah Oh little darlin' Oh little darlin Oh-oh-oh where ar-are you My love-a I was wrong-a To-oo try To lo-ove two A-hoopa a-hoopa hoopa Kno-ow well-a That my love-a Wa-as just fo-or you Ooooonly yoooooooooooou. ([Spoken]) My darlin' I NEED you To call my own And NEVER do wrong To hold in mine Your little hand I'll know too soon That ALL is so grand PLEASE hold my hand My dear-a I-I was wrong-a To-oo try To lo-ove two A-hoopa a-hoopa hoopa Know well-a That my love-a Wa-as just for you Ooooonly yoooooooooooou. 
1958,Domenico Modugno,Volare (Nel Blu Dipinto Di Blu),Penso che un sogno così non ritorni mai più mi dipingevo le mani e la faccia di blu poi d'improvviso venivo dal vento rapito e incominciavo a volare nel cielo infinito Volare oh oh cantare oh oh nel blu dipinto di blu felice di stare lassù e volavo volavo felice più in alto del sole ed ancora più su mentre il mondo pian piano spariva lontano laggiù una musica dolce suonava soltanto per me. Volare oh oh cantare oh oh nel blu dipinto di blu felice di stare lassù. ma tutti i sogni nell'alba svaniscon perché quando tramonta la luna li porta con sé ma io continuo a sognare negli occhi tuoi belli che sono blu come un cielo trapunto di stelle. Volare oh oh cantare oh oh nel blu degli occhi tuoi blu felice di stare quaggiù e continuo a volare felice più in alto del sole ed ancora più su mentre il mondo pian piano scompare negli occhi tuoi blu la tua voce è una musica dolce che suona per me Volare oh oh cantare oh oh nel blu degli occhi tuoi blu felice di stare quaggiù nel blu degli occhi tuoi blu felice di stare quaggiù con te asd. 
1958,Everly Brothers,All I Have To Do Is Dream / Claudette,Drea-ea-ea-ea-eam dream dream dream Drea-ea-ea-ea-eam dream dream dream When I want you in my arms When I want you and all your charms Whenever I want you all I have to do is Drea-ea-ea-ea-eam dream dream dream When I feel blue in the night And I need you to hold me tight Whenever I want you all I have to do is Drea-ea-ea-ea-eam. I can make you mine taste your lips of wine Anytime night or day Only trouble is gee whiz I'm dreamin' my life away. I need you so that I could die I love you so and that is why Whenever I want you all I have to do is Drea-ea-ea-ea-eam dream dream dream Drea-ea-ea-ea-eam. I can make you mine taste your lips of wine Anytime night or day Only trouble is gee whiz I'm dreamin' my life away I need you so that I could die I love you so and that is why Whenever I want you all I have to do is Drea-ea-ea-ea-eam dream dream dream Drea-ea-ea-ea-eam dream dream dream. Drea-ea-ea-ea-eam dream dream dream. 
